token,frequency,total,idf
held,598271,5940667,2.2955328670606234
based,597310,5940667,2.2971404540111724
group,597022,5940667,2.297622731980083
district,595933,5940667,2.2994484509761763
end,592242,5940667,2.3056613604765177
each,590621,5940667,2.3084021698766777
took,588459,5940667,2.312069439990729
county,587002,5940667,2.3145484686376614
2,586446,5940667,2.315496103371553
won,585931,5940667,2.3163746604110136
around,583012,5940667,2.321368926285923
so,582505,5940667,2.322238926520976
along,572450,5940667,2.3396513002451576
february,568346,5940667,2.3468463074238026
received,565064,5940667,2.3526376965473084
released,562050,5940667,2.3579858817071733
another,559879,5940667,2.36185600666115
due,559793,5940667,2.362009623077688
team,559372,5940667,2.3627619697287323
include,556088,5940667,2.368650140507012
within,556015,5940667,2.3687814233110416
did,551754,5940667,2.37647440084424
died,549148,5940667,2.381208709379426
war,548475,5940667,2.3824349957898545
home,547915,5940667,2.3834565301867356
served,535922,5940667,2.4055880675216468
west,534762,5940667,2.4077549075115394
3,533064,5940667,2.410935203610662
because,529564,5940667,2.417522669133458
international,523224,5940667,2.429567024964425
back,522233,5940667,2.431462847168143
john,521442,5940667,2.4329786450007114
best,520860,5940667,2.4340954039832075
any,520549,5940667,2.4346926717411113
five,518429,5940667,2.438773610783549
i,516216,5940667,2.443051413072738
last,514026,5940667,2.4473028477815366
use,513565,5940667,2.448200091978746
included,513085,5940667,2.449135172161817
will,512706,5940667,2.4498741141436544
small,512519,5940667,2.4502389121188775
series,511186,5940667,2.4528431794681436
10,509340,5940667,2.4564609256370478
although,507791,5940667,2.4595067500146586
2010,506894,5940667,2.4612747868609017
public,505113,5940667,2.464794528994448
like,502479,5940667,2.4700228475997945
local,502446,5940667,2.470088524142844
day,497958,5940667,2.479060959496318
major,494345,5940667,2.486343041614481
own,492340,5940667,2.4904071608819787
left,490917,5940667,2.4933016248796553
still,489692,5940667,2.4958000735727213
general,487980,5940667,2.4993022742082402
main,487123,5940667,2.501060037686885
house,486210,5940667,2.5029360662768414
4,483034,5940667,2.5094896510651625
life,482862,5940667,2.5098457970722237
company,482077,5940667,2.5114728432858726
third,481160,5940667,2.5133768404891073
east,478441,5940667,2.5190437943096557
2006,475119,5940667,2.526011396641026
could,473848,5940667,2.528690100452644
moved,470928,5940667,2.5348714795258345
2011,470553,5940667,2.535668096812495
season,470024,5940667,2.5367929383848007
long,469853,5940667,2.537156815789795
according,469296,5940667,2.538342996183554
among,467817,5940667,2.5414995018088193
very,467800,5940667,2.5415358414649005
set,466104,5940667,2.5451679104237193
large,464943,5940667,2.5476618781864055
5,462792,5940667,2.5522989865295655
those,458504,5940667,2.5616076798561873
times,457708,5940667,2.5633452694102963
built,455080,5940667,2.5691034679434632
late,451054,5940667,2.577989629355223
near,450013,5940667,2.580300224379001
college,448899,5940667,2.582778777497206
population,448487,5940667,2.5836970000434625
2008,446518,5940667,2.588096982561163
just,446013,5940667,2.5892285960376467
government,445722,5940667,2.589881256324233
village,443398,5940667,2.5951089090428505
order,442855,5940667,2.596334292918439
if,441920,5940667,2.598447825394052
members,441433,5940667,2.5995504424663656
2012,441372,5940667,2.5996886383309046
2009,440954,5940667,2.600636133998654
age,439254,5940667,2.604498862157819
having,439140,5940667,2.6047584267737887
published,438813,5940667,2.6055033413993343
de,437514,5940667,2.608467990329299
20,435695,5940667,2.6126342383435213
again,433330,5940667,2.618077133170739
much,432203,5940667,2.6206813103353723
final,431504,5940667,2.62229991514605
started,431379,5940667,2.6225896415652157
led,430228,5940667,2.625261394892843
established,429500,5940667,2.626954954190669
central,429324,5940667,2.627364816985523
2007,428764,5940667,2.6286700446067046
career,427566,5940667,2.6314680331895386
history,427467,5940667,2.631699603200152
town,424080,5940667,2.6396545789354287
various,421968,5940667,2.644647213838047
2013,420806,5940667,2.647404775737998
death,420586,5940667,2.6479277186825794
went,420155,5940667,2.6489530047998406
what,418336,5940667,2.6532917582355298
original,417950,5940667,2.654214887469814
12,417919,5940667,2.6542890617722805
children,417445,5940667,2.6554238965290335
become,417444,5940667,2.655426292057062
came,416802,5940667,2.6569654067228434
2014,416363,5940667,2.6580192196905665
15,415016,5940667,2.661259621910608
music,414797,5940667,2.661787451686918
different,414353,5940667,2.662858428090316
down,413085,5940667,2.6659233126921387
old,412111,5940667,2.6682839650760957
6,410409,5940667,2.672422472174313
s,410249,5940667,2.6728124031858362
british,409922,5940667,2.6736097979177313
